	sample1	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ASV_662	110	64	49	144	42	40	37	31	32	24	98	45	128	54	330	191	188	19
ASV_1866	78	26	15	2	48	24	32	19	22	18	92	60	81	62	93	53	13	1
ASV_1689	18	23	9	11	29	55	65	34	55	40	114	50	63	83	65	19	34	45
ASV_719	42	0	5	16	61	42	33	38	51	31	80	0	52	49	83	76	29	61
ASV_782	271	7	0	14	63	23	85	33	26	82	528	55	74	172	156	18	51	23
ASV_1284	45	26	0	35	48	20	17	8	12	27	108	12	31	49	48	87	55	48
ASV_806	37	132	78	52	21	32	41	30	26	23	67	59	49	22	56	44	22	47
ASV_874	139	0	8	24	364	61	463	183	88	96	198	27	138	257	702	30	30	0
ASV_1158	0	11	26	21	29	39	94	18	40	38	0	44	134	160	0	0	77	1
ASV_805	87	23	0	33	69	35	164	54	47	42	14	6	26	34	168	55	112	47
ASV_223	70	271	517	192	91	89	159	26	88	104	335	28	189	143	175	27	62	31
ASV_869	0	156	314	104	29	11	19	6	6	2	16	41	5	19	193	3	14	6
ASV_508	122	156	316	99	63	32	40	74	71	105	69	146	104	156	99	73	84	60
ASV_137	120	338	204	194	131	54	117	60	55	37	197	12	132	83	125	38	131	3
ASV_1129	182	17	0	111	44	30	66	61	17	82	118	0	28	32	316	37	60	101
ASV_622	167	0	23	51	137	46	68	47	67	123	49	0	50	15	58	69	48	127
ASV_511	90	106	200	50	39	80	26	42	131	98	122	4	0	3	95	0	22	1
ASV_513	202	11	38	9	216	78	143	110	62	118	909	81	137	84	192	11	25	35
ASV_24	344	602	1479	297	498	268	423	240	320	506	470	197	288	239	676	115	158	248
ASV_183	142	146	351	102	67	48	76	33	71	100	58	0	5	47	185	2	25	5
ASV_674	34	267	457	184	19	14	41	8	55	42	0	0	24	11	89	18	28	24
ASV_750	66	21	26	26	32	55	33	46	69	76	84	13	21	23	148	0	20	12
ASV_1331	10	75	242	38	54	76	24	45	52	28	111	0	13	19	57	0	0	0
ASV_320	313	22	29	75	186	117	156	112	100	194	91	100	142	256	297	38	36	109
ASV_1030	60	11	24	17	78	53	85	44	30	61	162	0	51	123	55	0	26	7
ASV_361	157	14	4	27	164	131	142	97	74	179	78	73	198	204	354	55	35	23
ASV_749	61	0	3	6	33	63	16	63	65	81	185	16	34	23	49	6	7	18
ASV_349	16	87	42	68	11	34	13	5	18	31	93	0	12	10	17	32	47	76
ASV_1233	85	15	21	0	70	100	51	25	76	63	160	51	93	123	79	0	0	0
ASV_1489	145	0	6	0	91	31	109	27	31	35	60	139	198	247	232	0	0	0
ASV_1613	55	2	8	15	130	15	58	22	43	21	117	36	37	67	80	0	0	0
ASV_2342	44	0	6	25	85	68	99	42	30	59	25	52	95	41	0	0	32	0
ASV_2416	7	23	2	9	44	21	10	4	10	4	21	0	0	7	92	108	111	154
ASV_105	196	316	157	117	160	211	243	131	98	123	296	63	65	116	266	66	280	671
ASV_841	57	20	96	39	40	58	55	43	40	43	93	40	74	34	55	12	3	0
ASV_352	242	128	123	144	170	198	109	78	111	250	577	48	113	150	30	46	45	57
ASV_744	96	16	6	80	32	16	34	22	12	21	65	17	55	38	96	41	92	63
ASV_2241	51	8	0	11	41	20	32	8	19	45	136	114	37	40	93	4	4	4
ASV_136	507	184	173	323	511	115	359	243	319	322	162	230	277	262	654	216	454	518
ASV_307	53	87	135	85	71	27	62	39	45	121	131	143	352	188	137	13	44	19
ASV_2271	39	0	0	15	75	29	51	30	18	37	58	20	173	110	14	37	17	0
ASV_379	73	156	154	57	32	24	71	33	24	26	86	46	30	46	179	52	61	33
ASV_571	137	22	6	67	48	51	54	34	23	33	144	42	46	78	125	82	77	43
ASV_1947	12	12	22	71	10	19	25	36	37	49	99	35	83	54	111	60	41	30
ASV_328	185	235	293	117	245	192	263	136	183	166	295	67	194	218	71	54	47	53
ASV_236	134	54	45	37	95	31	90	35	15	62	88	14	43	56	62	10	133	54
ASV_1036	47	69	26	32	88	31	76	69	74	56	64	80	94	47	0	0	13	5
ASV_63	273	148	121	98	149	61	148	120	112	119	398	94	134	154	291	348	188	353
ASV_1996	26	37	3	10	6	11	37	14	15	14	20	7	25	8	71	114	42	119
ASV_172	57	78	71	39	23	11	17	19	15	22	32	43	16	29	57	30	92	132
ASV_983	56	21	17	19	28	25	85	29	35	14	97	27	50	31	84	21	16	127
ASV_858	30	45	165	193	74	115	294	88	77	83	148	35	133	179	86	263	249	43
ASV_923	100	34	62	27	61	61	91	76	141	59	129	114	166	127	114	20	53	24
ASV_545	19	47	28	38	43	46	50	41	32	54	65	50	75	48	103	34	64	86
ASV_492	90	275	1	140	46	14	49	26	12	9	14	2	10	14	111	255	801	596
ASV_403	72	83	290	139	63	58	113	42	81	54	60	52	96	81	44	85	58	24
ASV_535	58	36	39	43	68	70	128	79	91	56	101	46	111	115	159	125	130	51
ASV_124	212	135	293	188	183	182	357	153	267	159	365	144	452	324	259	296	272	94
ASV_1366	18	46	119	49	13	24	29	36	35	35	57	12	41	54	76	99	15	1
ASV_981	31	100	57	82	24	13	25	16	13	28	49	19	4	17	53	77	243	160
ASV_798	42	138	101	92	55	31	35	31	48	32	61	0	21	19	81	26	122	246
ASV_22	832	478	595	650	702	554	422	529	792	944	775	810	1216	1021	1414	747	785	847
ASV_93	240	190	149	208	140	141	89	94	170	171	141	137	181	115	648	384	635	993
ASV_391	64	80	94	61	26	27	23	29	25	56	63	45	66	25	113	60	73	88
ASV_1126	18	23	19	30	28	59	17	44	67	54	101	93	45	86	24	12	55	62
ASV_1589	17	3	17	21	23	23	38	6	39	18	50	95	95	87	27	23	25	1
ASV_190	60	50	123	100	104	134	85	142	207	181	71	395	425	370	114	136	80	17
ASV_86	347	387	401	227	280	285	279	171	355	243	614	859	735	782	708	341	221	189
ASV_534	5	7	9	30	41	41	26	30	54	38	0	113	122	80	40	7	20	35
ASV_2759	9	202	420	59	0	0	0	0	4	0	0	0	0	6	38	7	1	0
ASV_740	23	64	249	32	35	39	31	44	30	38	60	34	8	21	142	1	33	43
ASV_319	17	54	40	75	35	6	13	10	9	2	0	0	20	9	75	154	94	57
ASV_378	96	91	88	81	97	62	191	97	79	135	28	79	161	243	375	68	123	58
ASV_560	90	34	61	42	61	32	91	50	75	36	35	75	106	74	58	49	86	24
ASV_632	21	20	9	62	29	31	21	21	24	34	45	34	90	38	28	49	18	72
ASV_226	156	92	160	273	249	9	170	93	22	125	42	41	95	141	90	235	263	130
ASV_80	120	160	518	1013	724	163	1122	516	306	390	85	430	732	600	332	543	387	22
ASV_321	23	55	12	88	43	7	27	32	18	32	8	25	45	40	18	93	185	144
ASV_1161	46	7	25	51	36	29	61	24	34	26	4	67	44	23	84	82	36	5
ASV_288	107	31	57	121	68	9	65	28	96	48	43	100	84	72	252	56	130	22
ASV_108	30	48	82	65	43	32	69	33	17	75	0	42	70	32	112	100	110	141
ASV_627	29	3	15	45	92	14	102	113	9	78	43	103	51	43	27	45	138	36
ASV_549	37	59	43	60	28	12	32	7	17	24	39	12	25	25	27	179	294	107
ASV_672	50	148	245	247	91	6	88	26	6	58	0	42	12	13	62	72	34	60
ASV_264	70	40	30	42	27	41	15	22	54	19	54	28	14	27	110	27	76	137
ASV_581	68	4	0	21	144	139	70	73	69	66	28	169	163	92	29	30	20	5
ASV_2162	0	14	0	51	7	8	37	14	17	24	0	17	36	50	173	92	113	77
ASV_1500	46	7	4	4	39	40	110	33	50	98	208	52	53	65	77	8	36	11
ASV_118	71	91	658	124	46	61	309	35	76	158	169	1	76	30	474	65	92	10
ASV_1199	45	9	19	13	63	11	162	26	9	22	69	18	121	138	159	0	36	3
ASV_369	108	74	61	55	88	44	148	48	32	97	10	63	94	56	33	33	105	107
ASV_1391	39	5	2	70	54	77	36	35	93	76	1	67	32	61	46	74	38	0
ASV_129	1014	49	31	98	534	106	342	216	115	279	969	221	264	513	534	29	97	147
ASV_267	71	86	117	62	122	206	52	111	164	180	76	18	62	85	136	0	15	10
ASV_202	116	53	45	95	165	239	154	128	186	265	52	57	86	182	309	93	115	46
ASV_5	1224	575	526	698	1537	1243	1093	848	1377	1948	660	708	816	1027	3793	504	826	1584
ASV_751	74	7	66	118	69	40	61	58	37	97	71	54	61	65	79	27	81	24
ASV_394	36	33	67	104	78	89	41	47	77	77	34	49	77	59	193	72	151	26
ASV_742	57	30	9	69	134	73	68	108	130	99	44	29	42	67	52	44	35	39
ASV_1083	68	5	16	38	47	19	84	27	15	40	53	20	111	85	41	0	24	25
ASV_187	182	61	41	67	117	58	123	100	62	76	257	29	59	129	146	86	193	168
ASV_516	14	25	21	22	39	50	65	28	42	32	50	27	18	19	140	21	65	62
ASV_470	5	151	601	140	3	7	4	4	5	4	3	8	8	9	0	0	11	28
ASV_937	86	20	9	20	80	18	53	29	27	43	12	16	22	19	120	15	76	54
ASV_694	318	36	43	42	275	200	311	98	179	261	185	44	104	214	224	99	87	95
ASV_197	30	16	101	14	105	187	96	230	153	169	356	53	147	100	40	0	19	34
ASV_1214	14	21	40	29	68	52	54	31	53	48	7	10	111	92	50	40	39	0
ASV_1602	11	3	1	40	29	67	66	46	50	44	39	35	73	107	62	9	8	0
ASV_162	151	114	117	252	171	180	205	116	164	132	187	97	203	218	522	197	403	319
ASV_1867	49	8	70	20	47	40	34	50	35	32	41	33	50	16	38	17	66	2
ASV_1282	44	12	72	30	53	41	42	14	33	27	68	51	70	79	1	0	54	10
ASV_98	17	71	42	61	47	35	15	35	27	19	49	6	14	20	21	81	180	181
ASV_285	6	26	16	21	43	16	31	58	41	31	16	41	49	51	97	11	72	40
ASV_1375	105	3	0	5	74	32	71	44	34	50	58	4	9	37	78	12	27	0
ASV_484	89	118	78	92	92	41	85	39	55	60	60	53	67	56	160	52	133	141
ASV_1397	28	24	115	25	51	34	15	11	24	20	32	19	52	93	62	9	43	45
ASV_221	28	302	552	148	87	52	53	22	81	112	191	38	58	85	122	12	50	43
ASV_3264	31	32	1	43	24	43	32	11	45	36	81	21	22	13	1	60	55	60
ASV_281	31	77	2	74	25	11	8	12	6	7	25	2	13	14	0	200	179	120
ASV_1286	21	4	24	25	25	6	35	19	23	39	253	15	92	76	13	21	28	3
ASV_514	83	56	21	75	25	11	34	16	11	15	121	0	5	8	106	12	277	111
ASV_793	26	45	63	24	62	33	41	73	34	36	12	33	86	51	37	52	134	63
ASV_1642	18	27	43	39	49	19	54	30	9	20	142	21	29	37	86	20	35	14
ASV_1304	58	3	0	41	124	69	147	83	119	77	63	35	113	127	24	20	37	0
ASV_1236	45	96	1	14	139	18	23	8	9	15	8	6	16	2	103	5	136	124
ASV_1976	11	3	39	16	35	83	24	49	78	74	0	44	36	38	37	13	7	0
ASV_1671	26	1	0	10	54	98	65	52	59	98	10	4	66	59	5	40	25	0
ASV_2319	45	0	0	20	60	118	94	75	45	96	107	18	151	76	84	18	51	0
ASV_357	22	99	244	108	28	7	40	34	12	20	0	0	10	0	1	30	13	36
ASV_1927	15	12	4	43	82	0	58	22	0	18	110	60	53	161	0	0	20	15
ASV_1159	72	0	14	60	196	153	117	177	225	249	192	84	110	85	184	32	39	5
ASV_2238	14	9	10	26	54	50	60	72	67	138	9	58	67	83	24	0	9	0
ASV_2118	20	8	31	52	79	26	86	63	75	63	2	62	127	121	7	70	28	0
ASV_1172	75	31	63	61	137	95	160	166	134	201	93	58	113	122	107	0	40	90
ASV_3187	87	0	0	0	29	55	15	17	37	58	17	69	110	108	149	0	0	0
ASV_623	6	503	11	264	170	5	13	21	5	8	8	16	0	27	2	177	951	1360
ASV_1884	96	0	0	25	88	21	35	63	49	75	188	86	185	177	58	22	49	8
ASV_758	0	76	368	144	5	2	14	11	0	19	0	106	43	57	0	0	0	0
ASV_1198	19	8	44	51	158	53	219	123	35	59	13	43	96	110	99	11	59	0
ASV_842	141	0	0	24	275	113	573	147	189	127	22	54	106	107	1056	2	47	0
ASV_2232	32	60	7	24	25	13	17	13	15	21	207	28	30	33	97	53	71	61
ASV_2218	39	10	0	0	45	29	47	59	36	27	196	116	169	106	35	0	0	1
ASV_255	237	237	14	407	190	21	97	21	15	63	142	20	18	41	198	500	1007	507
ASV_2564	0	268	149	139	0	1	0	1	9	0	0	0	0	0	0	128	194	0
ASV_641	41	55	27	32	87	3	79	37	26	7	489	87	159	113	55	20	65	109
ASV_502	75	15	1	103	82	198	100	72	89	254	0	8	108	192	215	76	84	78
ASV_1688	7	4	1	58	56	242	33	99	126	74	0	37	16	54	38	73	41	5
ASV_21	327	128	47	659	567	1505	523	725	1020	1184	416	672	1117	1187	1418	505	686	298
ASV_85	4	18	84	86	209	144	281	142	95	200	145	44	205	91	62	29	110	2
ASV_1301	109	139	6	58	46	82	21	40	23	47	106	0	20	18	123	40	386	239
ASV_644	19	112	162	132	27	45	16	30	12	61	0	22	98	159	108	63	21	0
ASV_1413	16	2	7	33	54	85	14	76	109	41	0	0	83	53	47	36	114	0
ASV_296	67	145	145	159	84	144	151	101	181	118	220	90	158	217	187	45	81	78
ASV_1024	105	36	21	78	57	48	76	14	48	69	142	79	131	81	22	0	13	0
ASV_13	980	1372	13	664	652	804	561	381	434	309	1461	310	1217	1444	757	887	2030	1804
ASV_227	312	79	107	98	385	204	165	201	315	244	500	132	420	393	644	98	92	9
ASV_222	34	64	388	143	44	32	165	37	78	142	30	10	64	25	402	37	188	4
ASV_355	19	66	99	50	38	34	35	56	90	38	129	13	20	31	95	17	22	34
ASV_510	29	128	85	70	12	15	28	40	72	32	12	73	49	35	30	10	75	78
ASV_201	173	13	1	9	68	141	24	106	327	82	144	8	2	2	179	61	19	13
ASV_84	132	21	14	31	47	84	32	56	145	91	214	22	19	11	91	9	75	148
ASV_389	56	29	43	79	80	68	65	59	175	40	36	41	126	92	31	249	67	155
ASV_796	16	113	18	54	50	35	44	69	71	33	0	18	25	26	55	82	133	152
ASV_127	230	372	97	438	389	363	243	267	402	215	367	118	324	297	614	791	863	1081
ASV_536	69	185	43	126	104	96	77	110	167	51	81	40	182	107	132	286	176	453
ASV_1297	45	14	36	47	49	28	34	36	71	56	151	21	39	6	100	0	11	22
ASV_497	91	26	38	253	220	64	117	90	48	102	236	189	200	203	66	0	39	32
ASV_1536	49	1	0	39	74	32	48	34	58	104	130	53	120	125	20	0	15	8
ASV_3199	14	0	0	5	81	3	29	28	11	23	154	149	66	58	25	0	0	0
ASV_1067	32	44	37	3	147	50	126	75	110	78	46	67	149	76	13	0	6	1
ASV_912	294	1	0	19	70	58	144	63	33	89	97	107	168	122	54	55	6	13
ASV_1049	93	15	9	0	45	38	18	22	38	33	101	13	32	59	28	32	9	21
ASV_318	128	90	116	82	103	91	84	78	113	178	17	81	152	105	89	40	47	54
ASV_351	87	1	2	46	93	46	38	38	23	95	69	30	98	41	45	56	11	195
ASV_449	120	130	6	53	15	16	24	15	21	23	44	7	24	37	109	63	109	141
ASV_163	114	88	14	45	73	39	36	29	71	114	28	44	87	83	123	79	77	290
ASV_733	129	2	0	94	79	25	64	74	63	68	16	41	32	40	1128	73	55	1
ASV_144	318	226	237	209	345	189	318	109	247	228	559	257	480	272	174	123	105	65
ASV_661	95	26	38	67	224	72	164	48	82	259	85	227	321	240	69	29	23	11
ASV_244	378	117	76	78	547	253	421	220	260	402	424	489	700	747	107	62	85	40
ASV_639	76	108	137	62	11	26	11	5	10	29	110	35	32	33	28	20	54	73
ASV_231	38	171	70	55	86	34	61	51	73	109	12	9	33	127	55	32	40	29
ASV_237	10	327	99	46	25	16	23	11	27	36	15	9	50	33	20	17	20	53
ASV_415	310	2	2	194	188	61	124	74	58	200	326	82	230	153	169	28	72	1
ASV_18	638	531	722	753	543	413	726	292	486	679	355	273	323	459	1289	688	610	145
ASV_279	70	79	47	132	168	158	150	86	169	145	75	238	304	310	144	44	92	0
ASV_1069	1	151	135	66	18	40	21	6	6	14	0	32	18	17	8	10	11	13
ASV_837	13	18	13	28	57	30	45	26	18	18	87	14	44	85	67	71	18	1
ASV_2	482	1117	839	670	766	197	988	343	155	366	575	524	571	1041	583	626	1367	1602
ASV_1138	143	16	1	104	109	37	79	54	50	77	190	89	133	208	91	229	107	20
ASV_380	178	42	1	39	20	13	18	12	5	11	256	46	39	73	139	178	145	216
ASV_2953	67	0	7	12	45	2	73	36	22	38	140	61	77	71	11	0	10	0
ASV_651	133	0	5	0	142	58	136	52	82	99	253	140	262	291	231	0	6	0
ASV_2282	86	0	0	0	61	29	67	32	31	67	29	40	60	64	127	1	2	0
ASV_664	40	78	77	48	58	30	35	18	67	77	108	84	63	108	34	16	58	27
ASV_2951	36	0	0	1	35	102	14	72	141	113	47	66	100	96	0	0	0	0
ASV_772	86	0	13	54	365	60	184	152	45	118	325	192	195	283	236	12	72	0
ASV_3128	32	0	0	54	41	47	26	58	47	52	41	38	44	53	27	9	32	31
ASV_336	88	13	44	177	345	159	172	174	143	262	204	129	216	216	114	237	184	1
ASV_3198	28	1	0	69	44	12	59	31	9	31	127	0	4	22	79	36	133	0
ASV_767	1	250	432	237	4	1	0	4	5	0	0	0	6	5	0	66	63	62
ASV_161	90	63	43	20	351	222	102	138	260	135	161	184	208	120	57	58	39	49
ASV_147	78	27	15	8	106	141	50	87	125	86	85	63	59	46	34	2	8	0
ASV_625	97	111	130	54	95	50	120	72	114	116	57	41	71	61	69	41	22	156
ASV_1095	0	117	162	39	32	41	26	35	55	22	2	25	12	52	8	1	12	0
ASV_407	94	53	31	20	118	96	95	92	181	87	56	199	224	205	84	22	2	14
ASV_242	190	83	10	33	178	126	149	110	131	95	204	188	297	194	117	67	56	67
ASV_6	35	325	471	239	13	24	37	15	27	26	31	33	34	44	33	106	125	119
ASV_121	39	66	130	93	18	28	27	40	35	9	9	46	40	22	48	25	101	84
ASV_270	126	33	36	32	22	25	27	21	49	9	99	8	70	76	54	0	5	3
ASV_34	279	685	1116	595	340	54	314	161	87	128	124	84	167	207	260	364	578	277
ASV_1261	71	2	0	21	80	53	39	47	30	59	161	31	33	115	36	0	22	0
ASV_142	147	205	289	224	293	365	164	288	618	393	133	211	235	282	185	83	226	35
ASV_824	9	70	108	71	13	13	10	11	10	9	28	54	15	34	0	64	37	16
ASV_257	184	13	2	4	44	29	39	80	111	26	79	14	23	31	130	0	1	11
ASV_23	426	56	129	82	743	105	514	352	244	231	350	160	269	304	219	85	69	43
ASV_42	91	193	194	353	381	52	149	124	68	84	68	180	203	152	54	356	338	188
ASV_72	390	191	202	305	479	174	338	291	223	213	187	200	327	244	227	482	260	165
ASV_362	305	4	0	2	51	100	45	114	223	219	67	34	19	19	141	0	26	0
ASV_440	284	3	1	20	240	210	227	270	309	197	319	185	261	158	142	1	26	0
ASV_376	231	58	109	175	110	68	103	65	88	134	133	226	207	475	107	269	157	160
ASV_762	51	32	134	104	15	19	5	21	40	53	23	195	177	314	4	2	31	9
ASV_131	116	668	4841	1380	420	58	301	158	75	181	49	673	431	899	90	141	83	78
ASV_1354	46	40	156	46	36	5	16	22	5	21	51	12	25	58	2	50	63	130
ASV_400	39	290	1704	549	88	33	91	46	38	67	64	5	44	58	16	141	321	335
ASV_253	42	185	602	590	387	58	458	230	93	215	71	272	364	386	24	632	602	810
ASV_117	82	191	145	67	197	158	52	178	30	149	92	44	172	422	1029	220	175	30
ASV_157	220	58	48	382	234	248	120	184	130	226	449	144	309	275	498	305	305	56
ASV_12	72	147	222	322	36	78	35	26	25	71	5	3	24	20	72	357	314	142
ASV_54	222	322	541	413	151	135	124	230	151	605	314	67	70	106	358	452	513	115
ASV_89	70	56	24	44	1	0	8	8	0	4	8	2	0	0	3	58	219	230
ASV_312	368	391	933	450	107	6	74	45	12	47	147	76	35	57	114	260	272	815
ASV_52	976	495	716	1088	441	424	254	479	746	835	140	464	393	532	350	766	1932	671
ASV_1048	54	42	92	239	34	11	55	40	94	70	22	0	5	16	24	189	176	52
ASV_1483	114	11	0	0	82	19	98	82	49	65	36	43	59	59	41	0	1	9
ASV_345	69	75	58	103	13	44	35	35	31	31	0	1	8	48	272	90	277	174
ASV_3518	28	0	1	0	60	77	10	95	102	105	109	8	16	22	22	9	9	1
ASV_173	95	70	48	46	147	122	149	163	338	204	82	141	213	206	269	58	50	35
ASV_182	39	41	35	55	68	96	43	56	157	172	21	97	98	86	42	24	47	44
ASV_406	25	76	24	61	10	32	24	40	74	24	2	0	10	15	93	175	112	158
ASV_133	393	71	86	111	152	148	170	187	268	164	344	149	182	320	439	77	70	128
ASV_41	512	590	489	627	417	482	346	576	1053	564	707	353	534	502	715	468	532	747
ASV_58	103	69	96	36	197	104	75	104	207	142	43	65	145	138	276	36	129	179
ASV_74	44	234	205	173	84	13	84	56	35	28	99	23	98	62	293	197	290	441
ASV_1342	42	9	11	22	109	33	98	45	82	79	92	57	108	108	7	23	1	4
ASV_1432	77	9	14	14	74	48	63	25	45	60	49	45	81	46	104	18	17	38
ASV_455	47	3	33	36	71	71	78	98	185	91	42	61	90	98	209	7	11	10
ASV_1045	38	24	59	33	47	40	47	65	96	71	71	23	19	54	28	19	34	113
ASV_2547	94	6	0	5	58	4	58	24	31	37	108	38	48	23	114	0	0	0
ASV_1182	70	30	65	52	87	44	62	74	89	86	42	42	47	78	70	30	13	9
ASV_630	40	28	11	24	66	70	62	96	175	111	0	101	154	160	184	0	7	3
ASV_39	709	498	451	435	708	672	734	750	1413	799	578	729	878	885	1350	468	487	275
ASV_1258	27	19	22	18	17	104	7	67	75	30	99	13	15	16	0	8	26	24
ASV_1116	68	99	107	64	69	72	34	56	81	67	62	99	110	150	54	0	1	0
ASV_1187	44	79	79	31	39	38	23	15	56	80	28	9	66	47	78	17	31	20
ASV_62	718	174	167	319	510	408	482	511	520	812	914	456	780	846	518	241	357	161
ASV_434	0	140	272	145	0	13	9	9	5	6	0	44	14	39	10	72	21	19
ASV_636	7	20	6	8	132	17	112	40	7	63	31	108	85	133	95	0	4	1
ASV_113	385	13	33	140	267	235	167	217	360	254	452	195	364	406	407	285	196	66
ASV_79	668	324	208	337	790	374	492	497	610	668	929	559	914	974	374	428	484	259
ASV_298	221	149	66	290	116	53	86	73	90	86	247	115	290	159	344	624	503	278
ASV_153	215	124	134	148	233	182	120	116	171	198	361	173	209	215	136	439	174	416
ASV_1244	63	4	27	24	44	24	36	24	37	46	42	12	43	43	30	86	24	103
ASV_822	33	0	1	111	57	62	22	49	78	44	14	22	26	20	186	374	51	86
ASV_1989	54	1	22	11	43	65	38	35	80	92	37	28	85	48	81	0	10	10
ASV_561	11	39	15	86	50	25	34	19	39	34	158	38	71	60	14	100	36	5
ASV_1980	0	12	8	131	1	0	5	0	2	1	4	1	1	6	20	233	164	19
ASV_490	0	63	92	24	29	6	42	19	25	18	12	74	83	48	24	71	48	12
ASV_338	129	150	244	99	154	106	75	123	253	229	113	110	89	229	52	39	63	179
ASV_143	347	23	45	139	252	167	156	138	271	228	658	257	366	331	390	97	196	11
ASV_310	82	98	160	131	64	75	68	79	174	130	76	60	52	77	106	189	198	149
ASV_25	482	349	595	710	615	379	442	422	615	634	556	472	673	676	673	463	531	407
ASV_569	8	8	9	25	61	76	28	74	121	126	14	37	46	51	55	0	12	1
ASV_1168	227	10	2	5	82	145	135	111	195	203	1	387	194	263	1	0	1	0
ASV_436	41	9	20	63	50	15	42	39	30	66	39	104	73	119	22	52	52	29
ASV_421	2	0	7	30	107	122	50	145	231	148	40	53	76	130	34	30	81	22
ASV_114	237	219	173	217	299	203	179	251	445	352	164	156	235	210	316	74	319	438
ASV_486	96	43	37	28	51	70	48	77	165	90	15	49	55	75	46	20	34	29
ASV_589	66	10	15	112	467	686	111	847	291	254	32	43	167	359	60	33	98	11
ASV_2975	0	6	3	1	24	75	10	57	150	365	0	0	7	5	1	0	1	0
ASV_3531	0	44	29	5	53	86	32	43	85	209	0	10	42	38	0	0	0	0
ASV_381	237	109	234	98	254	217	211	263	296	748	550	198	108	175	405	86	121	62
ASV_456	69	57	101	146	217	336	75	233	201	476	86	92	187	219	180	204	188	54
ASV_1765	26	12	57	38	7	6	9	3	13	13	28	4	0	0	597	0	4	0
ASV_1378	1	181	480	443	8	33	21	16	25	32	21	10	1	0	7	20	13	2
ASV_947	30	242	361	130	18	11	35	25	19	18	21	25	28	15	8	18	32	51
ASV_3169	44	2	0	0	53	61	114	85	38	44	225	36	63	54	0	0	13	0
ASV_375	100	41	33	131	152	531	85	621	414	110	188	51	114	59	75	98	151	14
ASV_1056	69	42	29	57	42	77	91	78	48	73	3	51	47	43	0	48	101	50
ASV_191	259	157	144	316	275	482	132	600	476	270	121	108	144	103	518	238	344	138
ASV_596	13	113	158	171	37	40	66	67	108	77	32	39	20	36	7	78	46	39
ASV_174	48	65	192	158	63	68	49	37	87	130	63	152	67	37	28	164	250	98
ASV_657	21	225	176	120	34	62	33	52	94	107	85	26	8	19	20	174	33	16
ASV_1411	32	30	18	14	99	119	34	34	94	67	132	51	40	104	17	1	30	0
ASV_998	18	0	28	35	70	59	71	61	57	71	54	43	110	58	31	14	7	5
ASV_283	32	104	144	166	220	151	107	216	201	196	56	48	39	70	55	59	52	11
ASV_1724	53	6	55	67	22	27	65	21	38	77	1	12	18	24	10	19	50	42
ASV_583	39	2	3	6	64	58	100	140	36	64	78	29	30	42	21	37	24	6
ASV_804	42	64	177	265	60	26	68	67	32	49	42	105	132	167	41	99	96	63
ASV_921	6	66	86	74	55	160	29	235	81	144	48	85	47	101	0	50	122	4
ASV_99	182	50	74	145	213	231	178	264	343	366	240	317	304	268	315	290	118	50
ASV_40	363	363	505	409	627	656	419	765	1048	661	379	302	377	407	818	381	293	285
ASV_116	152	130	97	328	358	326	182	303	418	196	190	204	178	127	107	508	368	93
ASV_96	233	270	130	158	248	376	103	352	507	337	180	66	136	164	168	318	242	816
ASV_234	1	100	228	103	18	7	16	17	37	13	10	11	9	9	0	29	1	1
ASV_109	105	282	318	197	139	171	82	133	352	157	165	84	128	100	91	266	215	128
ASV_401	64	20	23	38	37	24	34	51	55	58	58	10	36	25	33	61	23	24
ASV_78	90	232	177	115	105	185	99	141	403	210	98	77	124	88	240	95	140	130
ASV_438	61	48	33	25	66	96	43	55	155	70	94	13	56	45	0	8	35	43
ASV_47	579	528	680	360	763	652	680	781	1308	970	646	655	1116	993	774	285	302	249
ASV_256	12	164	155	58	31	38	15	30	41	58	0	4	7	32	86	61	34	33
ASV_1292	1	10	44	12	109	267	65	400	532	559	0	8	51	70	0	2	0	1
ASV_346	227	163	117	99	126	65	122	65	129	156	116	116	111	128	47	115	98	136
ASV_475	15	6	4	18	53	36	20	41	57	71	0	59	102	75	5	41	3	0
ASV_141	112	110	150	150	261	175	193	232	387	273	100	231	307	293	284	268	133	103
ASV_970	58	0	2	0	141	138	100	226	357	161	78	109	190	115	15	0	1	0
ASV_503	67	55	1	182	61	5	49	33	16	33	6	4	4	18	50	230	245	559
ASV_230	205	35	6	147	140	43	156	86	50	115	74	129	83	124	51	182	262	99
ASV_199	158	88	35	70	98	42	109	75	103	80	49	51	81	53	108	102	126	195
ASV_148	410	242	128	443	212	27	173	88	58	84	87	69	19	92	73	576	643	1783
ASV_3	444	1064	1653	1350	163	131	142	238	109	126	277	119	92	140	521	1006	1046	1113
ASV_828	67	8	22	51	32	11	23	34	15	32	25	42	32	49	116	83	15	11
ASV_46	439	231	167	482	822	151	429	326	280	365	221	149	157	281	566	667	651	652
ASV_570	114	50	0	109	21	4	28	33	6	17	7	4	7	11	47	48	89	75
ASV_185	368	188	18	624	49	13	120	42	8	37	44	27	25	31	97	773	945	827
ASV_35	973	305	181	827	981	222	1229	607	394	563	236	379	305	686	229	1091	1163	827
ASV_276	409	102	6	493	452	69	485	248	123	280	71	24	36	73	63	613	661	768
