"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"3725","OE1",43.4041372506705,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3720","WT3",43.1301780001641,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3715","KO6",42.9491690575434,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3724","KO2",42.2194548221945,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3714","KO1",41.5473038035628,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3710","WT6",41.5152166899667,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3712","WT4",40.2026111923723,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3718","WT1",40.150806171288,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3726","OE6",40.051171643421,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3716","OE2",39.276244425696,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3721","OE5",39.1355245384962,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3722","WT2",39.0965691510147,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3709","OE3",38.0572880572881,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3723","OE4",38.00922834072,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3717","KO4",37.9966409489319,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3713","KO5",36.7625160462131,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3711","WT5",35.7832675274784,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"3719","KO3",35.616543862802,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"2982","WT2",8.45077760700237,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3514","OE3",8.21783321783322,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2589","KO5",7.92554557124519,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1190","KO3",6.82139097840877,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2973","KO5",6.45186136071887,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2576","KO3",6.32332931118585,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1193","OE2",6.28540436302278,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"1189","OE3",6.21101871101871,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2984","WT5",6.18130402304983,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3520","WT4",6.09458800585081,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2585","KO1",6.03635050553683,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2974","KO1",6.02130476649013,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2582","KO4",5.94132157665459,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2972","WT1",5.78625096927725,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"1815","KO2",5.31064065310641,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"2592","KO6",5.16158718129162,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2980","OE4",5.03005282010807,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2987","WT4",4.81337017173195,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3517","OE4",4.65363365915852,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"236","WT5",4.61263472414897,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2985","WT6",4.54349930100011,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2986","OE5",4.4964730601831,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2588","WT2",4.43900278740198,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1201","KO5",4.42875481386393,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2975","KO4",4.35889361255445,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"1198","OE4",4.34703418128832,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2977","OE3",4.32259182259182,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2976","WT3",4.28184726437536,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"1204","WT6",4.27734164963975,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"3515","WT5",4.26848788816562,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2578","WT5",4.23647422900437,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1816","WT1",4.05893205700687,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"1196","WT2",4.00395967384792,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"3512","WT1",3.98138987673467,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2591","OE4",3.96454374354927,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"3504","WT3",3.77600962458644,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"3508","OE1",3.76421987236797,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2580","OE3",3.68734118734119,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2983","KO6",3.68375466897634,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2979","KO3",3.68154861235912,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3524","OE2",3.65794865614077,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"1191","WT1",3.6284392630819,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2583","WT1",3.6284392630819,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"3501","WT6",3.5944725239273,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"1801","WT3",3.54359773603478,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3502","OE6",3.52273081843427,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2586","KO2",3.50629583506296,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"442","OE6",3.49776904115573,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Other"
"2988","OE1",3.45901285568949,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2978","OE6",3.43848482011919,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3516","WT2",3.40479849949202,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2590","WT6",3.37401871168943,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1809","OE5",3.36485066786733,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"1812","WT4",3.35066905032775,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3505","WT4",3.29920364050057,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"1199","WT5",3.26005762458649,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"93","KO3",3.25537213421992,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2858","WT2",3.2276551957694,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"3521","KO3",3.21942953967806,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"3519","WT6",3.20195719969889,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2584","WT4",3.19085540928544,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"3526","OE6",3.16702549221505,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"1689","KO4",3.16485592820028,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2981","OE2",3.15475473062553,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"3527","WT3",3.11431930659229,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"3495","OE5",3.09170043523938,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2575","OE5",3.08269548251538,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2989","KO5",3.07573812580231,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"3513","KO1",3.03623013962446,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"3522","OE5",2.9896443043674,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"124","KO2",2.97218762972188,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"112","OE3",2.95969045969046,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"1804","WT2",2.91765441425483,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3500","WT2",2.91244431708651,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"111","WT5",2.87589371465158,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"445","OE1",2.8701791164411,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Other"
"251","KO2",2.86149162861492,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"107","WT6",2.85514571459297,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"3493","WT5",2.82520542097962,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"1067","KO5",2.78305519897304,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Other"
"3525","KO2",2.7784696277847,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"1802","OE6",2.73955505632001,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"2299","OE2",2.72086296251657,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"1811","KO3",2.71880054427357,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"1808","WT5",2.70515419912496,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3499","KO1",2.68716899374097,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2856","KO6",2.64169328208737,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"3002","KO3",2.56219352519833,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"119","OE5",2.54539996998349,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"3509","OE2",2.52500903941184,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"1502","WT1",2.52145779298912,"WT","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Other"
"1195","WT3",2.50457988133322,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"1806","WT6",2.50295730723734,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"120","WT1",2.50274071499238,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"1813","KO1",2.50060182956187,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3506","OE4",2.49529476048813,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"584","OE1",2.49406541912014,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"1810","OE2",2.47679884295528,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"1807","KO6",2.47388079900395,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3496","OE3",2.45437745437745,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2579","WT3",2.4170836409373,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1803","OE4",2.4042256086455,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"1814","OE1",2.40157844436908,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"2991","KO4",2.39594814464914,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"117","KO6",2.38185459860337,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"2971","KO2",2.37996402379964,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter"
"2452","KO4",2.37232981682675,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"2290","KO3",2.36964391158122,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"3494","WT1",2.36369956415947,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"581","KO2",2.35505742355057,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2295","KO2",2.33568562335686,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"1194","KO4",2.32246890253503,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"594","OE5",2.31127119915954,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"1818","KO5",2.30295250320924,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3523","OE1",2.29367697382619,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2851","KO4",2.28048076418412,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"3528","KO4",2.26998372959639,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2287","OE5",2.25724148281555,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"3001","KO6",2.21133546256699,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"3507","KO2",2.20008302200083,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"589","OE6",2.19975662267153,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"114","OE2",2.19356393877305,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"2587","OE1",2.17344390664981,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"1805","KO4",2.1728861596599,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"3385","KO4",2.13352227995591,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"2581","OE6",2.106149957877,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"2848","WT1",2.10166047220514,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"587","KO3",2.0975071243357,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2300","KO6",2.09224273263682,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"121","WT6",2.08893429401011,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"3498","KO6",2.07058950901315,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"2875","OE4",2.05816283164349,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"591","KO6",2.0543495912954,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"579","KO1",2.04321136254213,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2857","OE3",2.04146454146454,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"3518","KO6",2.01916310290695,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"115","KO4",1.99968508896237,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"126","OE4",1.99745006374841,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"588","WT6",1.98677277126573,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2877","OE2",1.98565746655418,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"118","WT3",1.97139966642058,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"3398","KO3",1.96143873071295,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"2294","WT3",1.95772837885872,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"1192","OE5",1.95407474110761,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"583","WT3",1.94405709129686,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"578","WT4",1.93672463297037,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2870","OE6",1.92517707260757,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"2296","KO4",1.92358158820133,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"1817","OE3",1.91730191730192,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"125","KO1",1.90779971112181,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"1203","KO6",1.90007037297678,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2292","WT4",1.89338534048432,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"110","OE6",1.89085462884957,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"2291","OE6",1.88461418452994,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"586","KO5",1.8793324775353,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"3503","KO3",1.86131293163205,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"577","OE2",1.85910570085573,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"1074","KO6",1.84052400801169,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Other"
"116","WT4",1.83108510753562,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"444","OE4",1.82745431364216,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Other"
"2994","WT2",1.82353400890927,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"2304","OE3",1.8018018018018,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"3003","OE5",1.78598229025964,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"109","OE1",1.77574991522027,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"2995","WT5",1.76608686372852,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"103","OE1",1.75725252027006,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"1206","OE6",1.75356485381759,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"243","WT4",1.75253263990465,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2998","KO1",1.73928743379875,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"3392","KO5",1.72785622593068,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"582","WT5",1.70739515526625,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"1077","KO3",1.68673461528587,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Other"
"3510","KO4",1.6847740513305,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"1205","KO2",1.68257921682579,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2288","WT5",1.67804930103511,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"580","WT1",1.65512446856868,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2302","KO1",1.65503129513722,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"2298","WT6",1.64264974728465,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"590","OE4",1.63013781798312,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2846","KO5",1.62002567394095,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"94","KO4",1.60867055056946,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
