"",Prevelance
ASV_1355,0
ASV_1349,0
ASV_1289,0
ASV_1273,0
ASV_1214,0
ASV_1195,0
ASV_1178,0
ASV_1172,0
ASV_1100,0
ASV_991,0
ASV_2128,0
ASV_1936,0
ASV_1718,0
ASV_1507,0
ASV_1404,0
ASV_1312,0
ASV_1291,0
ASV_1258,0
ASV_1229,0
ASV_1198,0
ASV_1197,0
ASV_1188,0
ASV_1042,0
ASV_1979,0
ASV_1871,0
ASV_1754,0
ASV_1497,0
ASV_1483,0
ASV_1370,0
ASV_1361,0
ASV_1345,0
ASV_1333,0
ASV_1314,0
ASV_1256,0
ASV_1222,0
ASV_1220,0
ASV_1200,0
ASV_1196,0
ASV_1187,0
ASV_1141,0
ASV_1119,0
ASV_2259,0
ASV_2116,0
ASV_2099,0
ASV_1836,0
ASV_1625,0
ASV_1567,0
ASV_1423,0
ASV_1278,0
ASV_1267,0
ASV_1237,0
ASV_1225,0
ASV_1210,0
ASV_1203,0
ASV_1164,0
ASV_1135,0
ASV_1080,0
ASV_2097,0
ASV_1853,0
ASV_1740,0
ASV_1611,0
ASV_1577,0
ASV_1436,0
ASV_1346,0
ASV_1244,0
ASV_1243,0
ASV_1217,0
ASV_1199,0
ASV_1180,0
ASV_1179,0
ASV_1163,0
ASV_1160,0
ASV_1152,0
ASV_1114,0
ASV_944,0
ASV_2567,0
ASV_2454,0
ASV_2001,0
ASV_1546,0
ASV_1326,0
ASV_1306,0
ASV_1268,0
ASV_1248,0
ASV_1245,0
ASV_1223,0
ASV_1173,0
ASV_1125,0
ASV_936,0
ASV_904,0
ASV_2098,0
ASV_1874,0
ASV_1568,0
ASV_1538,0
ASV_1522,0
ASV_1287,0
ASV_1239,0
ASV_1186,0
ASV_1137,0
ASV_1058,0
ASV_1017,0
ASV_2909,0
ASV_2751,0
ASV_2264,0
ASV_1889,0
ASV_1592,0
ASV_1496,0
ASV_1490,0
ASV_1309,0
ASV_1284,0
ASV_1238,0
ASV_1211,0
ASV_1146,0
ASV_1105,0
ASV_1016,0
ASV_965,0
ASV_2490,0
ASV_1923,0
ASV_1745,0
ASV_1640,0
ASV_1529,0
ASV_1482,0
ASV_1358,0
ASV_1307,0
ASV_1277,0
ASV_1230,0
ASV_1181,0
ASV_1171,0
ASV_1147,0
ASV_1140,0
ASV_1095,0
ASV_1064,0
ASV_1008,0
ASV_957,0
ASV_2621,0
ASV_2290,0
ASV_1638,0
ASV_1389,0
ASV_1158,0
ASV_1150,0
ASV_1115,0
ASV_1061,0
ASV_1059,0
ASV_987,0
ASV_978,0
ASV_955,0
ASV_928,0
ASV_2734,0
ASV_1820,0
ASV_1742,0
ASV_1259,0
ASV_1182,0
ASV_1067,0
ASV_1050,0
ASV_1035,0
ASV_1023,0
ASV_1916,0
ASV_1888,0
ASV_1467,0
ASV_1447,0
ASV_1207,0
ASV_1151,0
ASV_1123,0
ASV_1099,0
ASV_1097,0
ASV_1089,0
ASV_1087,0
ASV_1020,0
ASV_1005,0
ASV_999,0
ASV_989,0
ASV_974,0
ASV_930,0
ASV_1642,0
ASV_1310,0
ASV_1224,0
ASV_1167,0
ASV_1144,0
ASV_1136,0
ASV_1013,0
ASV_980,0
ASV_903,0
ASV_1390,0
ASV_1286,0
ASV_1251,0
ASV_1076,0
ASV_1022,0
ASV_1018,0
ASV_1001,0
ASV_961,0
ASV_852,0
ASV_1749,0
ASV_1693,0
ASV_1607,0
ASV_1302,0
ASV_1295,0
ASV_1271,0
ASV_1126,0
ASV_1104,0
ASV_1098,0
ASV_1071,0
ASV_1031,0
ASV_1024,0
ASV_972,0
ASV_956,0
ASV_857,0
ASV_2538,0
ASV_1486,0
ASV_1472,0
ASV_1317,0
ASV_1121,0
ASV_1019,0
ASV_1003,0
ASV_992,0
ASV_975,0
ASV_966,0
ASV_946,0
ASV_935,0
ASV_926,0
ASV_920,0
ASV_896,0
ASV_2597,0
ASV_2535,0
ASV_1905,0
ASV_1184,0
ASV_1183,0
ASV_1175,0
ASV_1122,0
ASV_1073,0
ASV_994,0
ASV_954,0
ASV_951,0
ASV_912,0
ASV_910,0
ASV_2234,0
ASV_1723,0
ASV_1620,0
ASV_1506,0
ASV_1437,0
ASV_1353,0
ASV_1205,0
ASV_1106,0
ASV_981,0
ASV_921,0
ASV_899,0
ASV_2682,0
ASV_2132,0
ASV_1332,0
ASV_1221,0
ASV_1094,0
ASV_1014,0
ASV_1010,0
ASV_986,0
ASV_950,0
ASV_943,0
ASV_941,0
ASV_863,0
ASV_843,0
ASV_2406,0
ASV_1301,0
ASV_893,0
ASV_882,0
ASV_872,0
ASV_866,0
ASV_851,0
ASV_845,0
ASV_2542,0
ASV_2443,0
ASV_2289,0
ASV_1503,0
ASV_1459,0
ASV_1294,0
ASV_1262,0
ASV_1176,0
ASV_1034,0
ASV_1007,0
ASV_960,0
ASV_922,0
ASV_908,0
ASV_905,0
ASV_901,0
ASV_876,0
ASV_786,0
ASV_762,0
ASV_1876,0
ASV_1761,0
ASV_1521,0
ASV_1421,0
ASV_1391,0
ASV_1228,0
ASV_1036,0
ASV_979,0
ASV_911,0
ASV_877,0
ASV_846,0
ASV_842,0
ASV_1508,0
ASV_1129,0
ASV_1092,0
ASV_1044,0
ASV_985,0
ASV_984,0
ASV_970,0
ASV_918,0
ASV_826,0
ASV_2532,0
ASV_2251,0
ASV_1531,0
ASV_1250,0
ASV_1086,0
ASV_1075,0
ASV_947,0
ASV_906,0
ASV_900,0
ASV_887,0
ASV_870,0
ASV_2700,0
ASV_1990,0
ASV_1824,0
ASV_1213,0
ASV_1069,0
ASV_1053,0
ASV_1033,0
ASV_1000,0
ASV_837,0
ASV_813,0
ASV_1852,0
ASV_1134,0
ASV_1127,0
ASV_1093,0
ASV_1079,0
ASV_1011,0
ASV_923,0
ASV_880,0
ASV_879,0
ASV_855,0
ASV_841,0
ASV_825,0
ASV_2522,0
ASV_1842,0
ASV_1785,0
ASV_1565,0
ASV_1461,0
ASV_1439,0
ASV_890,0
ASV_864,0
ASV_2301,0
ASV_2147,0
ASV_1440,0
ASV_1383,0
ASV_1047,0
ASV_1006,0
ASV_990,0
ASV_982,0
ASV_875,0
ASV_858,0
ASV_840,0
ASV_2051,0
ASV_1686,0
ASV_1401,0
ASV_1155,0
ASV_1084,0
ASV_1056,0
ASV_1046,0
ASV_940,0
ASV_924,0
ASV_884,0
ASV_2713,0
ASV_1819,0
ASV_1322,0
ASV_1078,0
ASV_1015,0
ASV_934,0
ASV_907,0
ASV_883,0
ASV_878,0
ASV_827,0
ASV_794,0
ASV_2461,0
ASV_1347,0
ASV_1247,0
ASV_1132,0
ASV_1065,0
ASV_1048,0
ASV_902,0
ASV_898,0
ASV_894,0
ASV_755,0
ASV_2526,0
ASV_1512,0
ASV_1235,0
ASV_937,0
ASV_844,0
ASV_790,0
ASV_785,0
ASV_780,0
ASV_2438,0
ASV_1218,0
ASV_1085,0
ASV_1043,0
ASV_823,0
ASV_761,0
ASV_757,0
ASV_1937,0
ASV_1547,0
ASV_1263,0
ASV_1201,0
ASV_1090,0
ASV_1052,0
ASV_818,0
ASV_809,0
ASV_784,0
ASV_769,0
ASV_1480,0
ASV_1318,0
ASV_1297,0
ASV_1139,0
ASV_1032,0
ASV_821,0
ASV_764,0
ASV_1899,0
ASV_1154,0
ASV_1113,0
ASV_1101,0
ASV_839,0
ASV_835,0
ASV_737,0
ASV_1030,0
ASV_814,0
ASV_779,0
ASV_750,0
ASV_1602,0
ASV_1442,0
ASV_889,0
ASV_869,0
ASV_831,0
ASV_716,0
ASV_1083,0
ASV_1051,0
ASV_977,0
ASV_777,0
ASV_729,0
ASV_1060,0
ASV_804,0
ASV_773,0
ASV_717,0
ASV_1193,0
ASV_959,0
ASV_854,0
ASV_838,0
ASV_830,0
ASV_820,0
ASV_817,0
ASV_799,0
ASV_748,0
ASV_1758,0
ASV_1564,0
ASV_914,0
ASV_860,0
ASV_832,0
ASV_787,0
ASV_782,0
ASV_772,0
ASV_765,0
ASV_753,0
ASV_746,0
ASV_736,0
ASV_1797,0
ASV_1103,0
ASV_963,0
ASV_952,0
ASV_848,0
ASV_698,0
ASV_1781,0
ASV_745,0
ASV_1850,0
ASV_1574,0
ASV_1569,0
ASV_892,0
ASV_891,0
ASV_808,0
ASV_805,0
ASV_766,0
ASV_732,0
ASV_714,0
ASV_702,0
ASV_1862,0
ASV_1830,0
ASV_1057,0
ASV_916,0
ASV_807,0
ASV_806,0
ASV_2045,0
ASV_1935,0
ASV_865,0
ASV_856,0
ASV_789,0
ASV_754,0
ASV_2295,0
ASV_1002,0
ASV_802,0
ASV_788,0
ASV_783,0
ASV_688,0
ASV_2745,0
ASV_871,0
ASV_795,0
ASV_791,0
ASV_770,0
ASV_725,0
ASV_1081,0
ASV_752,0
ASV_719,0
ASV_2907,0
ASV_792,0
ASV_726,0
ASV_712,0
ASV_667,0
ASV_2863,0
ASV_1907,0
ASV_1120,0
ASV_798,0
ASV_699,0
ASV_646,0
ASV_760,0
ASV_759,0
ASV_758,0
ASV_679,0
ASV_861,0
ASV_774,0
ASV_735,0
ASV_720,0
ASV_713,0
ASV_2480,0
ASV_2225,0
ASV_1339,0
ASV_801,0
ASV_687,0
ASV_664,0
ASV_659,0
ASV_2327,0
ASV_686,0
ASV_683,0
ASV_919,0
ASV_710,0
ASV_706,0
ASV_1102,0
ASV_776,0
ASV_680,0
ASV_641,0
ASV_2106,0
ASV_1293,0
ASV_756,0
ASV_733,0
ASV_1912,0
ASV_695,0
ASV_685,0
ASV_677,0
ASV_629,0
ASV_2061,0
ASV_938,0
ASV_603,0
ASV_768,0
ASV_711,0
ASV_682,0
ASV_988,0
ASV_743,0
ASV_692,0
ASV_673,0
ASV_631,0
ASV_1055,0
ASV_968,0
ASV_909,0
ASV_781,0
ASV_715,0
ASV_674,0
ASV_633,0
ASV_632,0
ASV_623,0
ASV_589,0
ASV_635,0
ASV_598,0
ASV_731,0
ASV_728,0
ASV_709,0
ASV_697,0
ASV_689,0
ASV_636,0
ASV_2270,0
ASV_913,0
ASV_675,0
ASV_666,0
ASV_665,0
ASV_653,0
ASV_637,0
ASV_724,0
ASV_643,0
ASV_638,0
ASV_595,0
ASV_700,0
ASV_693,0
ASV_668,0
ASV_608,0
ASV_584,0
ASV_2899,0
ASV_1269,0
ASV_690,0
ASV_676,0
ASV_548,0
ASV_691,0
ASV_655,0
ASV_616,0
ASV_602,0
ASV_564,0
ASV_703,0
ASV_670,0
ASV_630,0
ASV_624,0
ASV_587,0
ASV_2360,0
ASV_829,0
ASV_626,0
ASV_660,0
ASV_615,0
ASV_570,0
ASV_1982,0
ASV_642,0
ASV_617,0
ASV_591,0
ASV_1674,0
ASV_601,0
ASV_580,0
ASV_567,0
ASV_2517,0
ASV_962,0
ASV_810,0
ASV_565,0
ASV_2043,0
ASV_859,0
ASV_639,0
ASV_1817,0
ASV_998,0
ASV_696,0
ASV_647,0
ASV_614,0
ASV_612,0
ASV_1986,0
ASV_862,0
ASV_775,0
ASV_640,0
ASV_596,0
ASV_561,0
ASV_558,0
ASV_552,0
ASV_532,0
ASV_1619,0
ASV_572,0
ASV_704,0
ASV_650,0
ASV_622,0
ASV_514,0
ASV_501,0
ASV_1537,0
ASV_518,0
ASV_1456,0
ASV_886,0
ASV_681,0
ASV_576,0
ASV_549,0
ASV_620,0
ASV_574,0
ASV_1116,0
ASV_707,0
ASV_644,0
ASV_579,0
ASV_519,0
ASV_606,0
ASV_525,0
ASV_559,0
ASV_529,0
ASV_562,0
ASV_530,0
ASV_803,0
ASV_594,0
ASV_537,0
ASV_1246,0
ASV_942,0
ASV_581,0
ASV_557,0
ASV_1118,0
ASV_527,0
ASV_847,0
ASV_550,0
ASV_528,0
ASV_516,0
ASV_553,0
ASV_503,0
ASV_1987,0
ASV_718,0
ASV_489,0
ASV_822,0
ASV_522,0
ASV_1408,0
ASV_834,0
ASV_571,0
ASV_483,0
ASV_455,0
ASV_613,0
ASV_512,0
ASV_607,0
ASV_2543,0
ASV_566,0
ASV_554,0
ASV_609,0
ASV_511,0
ASV_496,0
ASV_543,0
ASV_536,0
ASV_592,0
ASV_551,0
ASV_502,0
ASV_488,0
ASV_487,0
ASV_1586,0
ASV_648,0
ASV_577,0
ASV_504,0
ASV_451,0
ASV_524,0
ASV_474,0
ASV_678,0
ASV_484,0
ASV_449,0
ASV_499,0
ASV_462,0
ASV_534,0
ASV_510,0
ASV_469,0
ASV_575,0
ASV_495,0
ASV_493,0
ASV_453,0
ASV_618,0
ASV_605,0
ASV_497,0
ASV_492,0
ASV_447,0
ASV_431,0
ASV_545,0
ASV_464,0
ASV_560,0
ASV_468,0
ASV_2411,0
ASV_634,0
ASV_437,0
ASV_1025,0
ASV_730,0
ASV_546,0
ASV_471,0
ASV_544,0
ASV_535,0
ASV_486,0
ASV_429,0
ASV_604,0
ASV_540,0
ASV_1299,0
ASV_628,0
ASV_479,0
ASV_472,0
ASV_811,0
ASV_430,0
ASV_482,0
ASV_494,0
ASV_491,0
ASV_485,0
ASV_463,0
ASV_443,0
ASV_569,0
ASV_466,0
ASV_448,0
ASV_450,0
ASV_669,0
ASV_542,0
ASV_509,0
ASV_547,0
ASV_480,0
ASV_423,0
ASV_408,0
ASV_506,0
ASV_467,0
ASV_428,0
ASV_432,0
ASV_539,0
ASV_481,0
ASV_457,0
ASV_454,0
ASV_424,0
ASV_406,0
ASV_399,0
ASV_452,0
ASV_410,0
ASV_470,0
ASV_1027,0
ASV_507,0
ASV_440,0
ASV_444,0
ASV_1275,0
ASV_478,0
ASV_442,0
ASV_465,0
ASV_411,0
ASV_397,0
ASV_392,0
ASV_460,0
ASV_409,0
ASV_1983,0
ASV_425,0
ASV_377,0
ASV_582,0
ASV_367,0
ASV_416,0
ASV_438,0
ASV_433,0
ASV_419,0
ASV_398,0
ASV_523,0
ASV_422,0
ASV_386,0
ASV_417,0
ASV_384,0
ASV_556,0
ASV_593,0
ASV_588,0
ASV_445,0
ASV_418,0
ASV_404,0
ASV_380,0
ASV_652,0
ASV_458,0
ASV_413,0
ASV_405,0
ASV_395,0
ASV_375,0
ASV_441,0
ASV_435,0
ASV_625,0
ASV_414,0
ASV_400,0
ASV_401,0
ASV_402,0
ASV_505,0
ASV_358,0
ASV_597,0
ASV_381,0
ASV_383,0
ASV_1208,0
ASV_365,0
ASV_816,0
ASV_359,0
ASV_407,0
ASV_355,0
ASV_363,0
ASV_2902,0
ASV_329,0
ASV_426,0
ASV_555,0
ASV_538,0
ASV_436,0
ASV_1534,0
ASV_373,0
ASV_439,0
ASV_389,0
ASV_385,0
ASV_374,0
ASV_382,0
ASV_341,0
ASV_394,0
ASV_353,0
ASV_390,0
ASV_391,0
ASV_379,0
ASV_361,0
ASV_350,0
ASV_337,0
ASV_334,0
ASV_873,0
ASV_364,0
ASV_853,0
ASV_372,0
ASV_370,0
ASV_366,0
ASV_573,0
ASV_376,0
ASV_332,0
ASV_320,0
ASV_387,0
ASV_371,0
ASV_318,0
ASV_313,0
ASV_347,0
ASV_362,0
ASV_338,0
ASV_396,0
ASV_336,0
ASV_335,0
ASV_346,0
ASV_344,0
ASV_333,0
ASV_326,0
ASV_309,0
ASV_349,0
ASV_360,0
ASV_343,0
ASV_319,0
ASV_351,0
ASV_412,0
ASV_340,0
ASV_298,0
ASV_299,0
ASV_531,0
ASV_304,0
ASV_293,0
ASV_290,0
ASV_356,0
ASV_354,0
ASV_311,0
ASV_303,0
ASV_310,0
ASV_302,0
ASV_317,0
ASV_316,0
ASV_314,0
ASV_296,0
ASV_948,0
ASV_323,0
ASV_295,0
ASV_315,0
ASV_292,0
ASV_307,0
ASV_2201,0
ASV_297,0
ASV_308,0
ASV_305,0
ASV_515,0
ASV_2368,0
ASV_285,0
ASV_331,0
ASV_321,0
ASV_287,0
ASV_270,0
ASV_327,0
ASV_268,0
ASV_291,0
ASV_277,0
ASV_312,0
ASV_275,0
ASV_897,0
ASV_282,0
ASV_260,0
ASV_342,0
ASV_1414,0
ASV_393,0
ASV_300,0
ASV_262,0
ASV_280,0
ASV_324,0
ASV_306,0
ASV_269,0
ASV_2086,0
ASV_241,0
ASV_271,0
ASV_239,0
ASV_281,0
ASV_294,0
ASV_278,0
ASV_283,0
ASV_267,0
ASV_264,0
ASV_286,0
ASV_253,0
ASV_257,0
ASV_301,0
ASV_255,0
ASV_247,0
ASV_273,0
ASV_263,0
ASV_230,0
ASV_261,0
ASV_259,0
ASV_251,0
ASV_265,0
ASV_254,0
ASV_258,0
ASV_288,0
ASV_250,0
ASV_252,0
ASV_228,0
ASV_421,0
ASV_249,0
ASV_276,0
ASV_242,0
ASV_289,0
ASV_229,0
ASV_205,0
ASV_220,0
ASV_236,0
ASV_214,0
ASV_244,0
ASV_231,0
ASV_221,0
ASV_274,0
ASV_234,0
ASV_233,0
ASV_1351,0
ASV_345,0
ASV_225,0
ASV_222,0
ASV_279,0
ASV_216,0
ASV_245,0
ASV_238,0
ASV_208,0
ASV_191,0
ASV_212,0
ASV_227,0
ASV_218,0
ASV_235,0
ASV_2195,0
ASV_201,0
ASV_194,0
ASV_219,0
ASV_210,0
ASV_215,0
ASV_199,0
ASV_246,0
ASV_203,0
ASV_248,0
ASV_213,0
ASV_207,0
ASV_204,0
ASV_224,0
ASV_198,0
ASV_209,0
ASV_202,0
ASV_223,0
ASV_217,0
ASV_188,0
ASV_200,0
ASV_177,0
ASV_184,0
ASV_1654,0
ASV_165,0
ASV_192,0
ASV_187,0
ASV_237,0
ASV_185,0
ASV_175,0
ASV_160,0
ASV_178,0
ASV_183,0
ASV_330,0
ASV_186,0
ASV_243,0
ASV_169,0
ASV_742,0
ASV_190,0
ASV_195,0
ASV_182,0
ASV_174,0
ASV_181,0
ASV_240,0
ASV_152,0
ASV_170,0
ASV_164,0
ASV_167,0
ASV_172,0
ASV_149,0
ASV_158,0
ASV_159,0
ASV_146,0
ASV_151,0
ASV_148,0
ASV_143,0
ASV_144,0
ASV_147,0
ASV_1068,0
ASV_145,0
ASV_157,0
ASV_162,0
ASV_964,0
ASV_163,0
ASV_461,0
ASV_153,0
ASV_154,0
ASV_130,0
ASV_141,0
ASV_206,0
ASV_142,0
ASV_132,0
ASV_128,0
ASV_156,0
ASV_140,0
ASV_133,0
ASV_121,0
ASV_124,0
ASV_971,0
ASV_135,0
ASV_137,0
ASV_127,0
ASV_123,0
ASV_708,0
ASV_129,0
ASV_120,0
ASV_118,0
ASV_126,0
ASV_125,0
ASV_119,0
ASV_352,0
ASV_112,0
ASV_122,0
ASV_150,0
ASV_874,0
ASV_111,0
ASV_658,0
ASV_107,0
ASV_621,0
ASV_108,0
ASV_103,0
ASV_193,0
ASV_105,0
ASV_2325,0
ASV_113,0
ASV_284,0
ASV_99,0
ASV_109,0
ASV_106,0
ASV_98,0
ASV_110,0
ASV_96,0
ASV_97,0
ASV_104,0
ASV_101,0
ASV_100,0
ASV_94,0
ASV_114,0
ASV_92,0
ASV_102,0
ASV_91,0
ASV_89,0
ASV_93,0
ASV_85,0
ASV_87,0
ASV_83,0
ASV_78,0
ASV_86,0
ASV_80,0
ASV_75,0
ASV_76,0
ASV_427,0
ASV_81,0
ASV_74,0
ASV_79,0
ASV_73,0
ASV_72,0
ASV_68,0
ASV_66,0
ASV_77,0
ASV_64,0
ASV_61,0
ASV_60,0
ASV_62,0
ASV_2105,0
ASV_59,0
ASV_56,0
ASV_54,0
ASV_53,0
ASV_49,0
ASV_48,0
ASV_45,0
ASV_378,0
ASV_50,0
ASV_44,0
ASV_63,0
ASV_166,0
ASV_46,0
ASV_71,0
ASV_42,0
ASV_55,0
ASV_47,0
ASV_37,0
ASV_34,0
ASV_32,0
ASV_30,0
ASV_27,0
ASV_31,0
ASV_22,0
ASV_33,0
