Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned	0.0465159549725556	0.0520788126030727	0.0154942671211652	0.0240038406144983	0.0605647664471194	0.0335457900033546	0.0371333085777943	0.0951746454744456	0.0273897562311695	0.0272801673183596	0.00886132033673017	0.0671462829736211	0.00860141063134354	0.0252759288903867	0.438832169084722	0.0086587583340549	0	0.034346556757685
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	0.0186063819890222	0.0607586147035848	0.00774713356058258	0.00800128020483277	0.00757059580588992	0.0167728950016773	0.241366505755663	0.085657180927001	0.0912991874372318	0.0545603346367191	0.194949047408064	0.268585131894484	0.129021159470153	0.0421265481506445	0.134336378291241	0.086587583340549	0.0334224598930481	0.0515198351365276
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	0.00930319099451112	0.0433990105025605	0.0154942671211652	0.0560089614338294	0.0529941706412295	0.0419322375041932	0.102116598588934	0.0380698581897782	0.0273897562311695	0.0909338910611985	0.0354452813469207	0.0383693045563549	0.0258042318940306	0.0842530963012891	0.0716460684219953	0.086587583340549	0.0752005347593583	0.0257599175682638
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	0.427946785747511	0.49474871972919	0.503563681437868	0.312049927988478	0.302823832235597	0.444481717544448	0.826216115855923	0.799467021985343	0.547795124623391	0.518323179048832	0.673460345591493	0.748201438848921	0.567693101668674	0.522369197067992	0.725416442772703	0.4415966750368	0.484625668449198	0.446505237849906
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	0.148851055912178	0.138876833608194	0.100712736287574	0.0960153624579933	0.0908471496706791	0.100637370010064	0.343483104344597	0.10469211002189	0.127818862412125	0.163681003910157	0.221533008418254	0.306954436450839	0.137622570101497	0.143230263712191	0.116424861185742	0.138540133344878	0.100267379679144	0.111626309462476
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	0	0.0173596042010242	0.00774713356058258	0	0	0	0.0278499814333457	0.00951746454744456	0.0273897562311695	0.0181867782122397	0.0265839610101905	0.0191846522781775	0	0.0421265481506445	0.0179115171054988	0	0.0167112299465241	0.034346556757685
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	0.0837287189506001	0.190955646211266	0.0619770684846607	0.0320051208193311	0.0151411916117798	0.0754780275075478	0.0556999628666914	0.0951746454744456	0.0456495937186159	0.136400836591798	0.0620292423571112	0.0959232613908873	0.12041974883881	0.0505518577807734	0.0447787927637471	0.121222616676769	0.100267379679144	0.0515198351365276
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae	0.0279095729835334	0.0694384168040969	0.0309885342423303	0.0320051208193311	0.0151411916117798	0.0251593425025159	0.06498329001114	0.085657180927001	0.0365196749748927	0.0454669455305993	0.0620292423571112	0.0575539568345324	0.0430070531567177	0.0252759288903867	0.0537345513164965	0.0692700666724392	0.0250668449197861	0.0171732783788425
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	0.0744255279560889	0.251714260914851	0.092965602726991	0.072011521843495	0.0302823832235597	0.109023817510902	0.176383215744523	0.266489007328448	0.118688943668401	0.0909338910611985	0.106335844040762	0.364508393285372	0.0688112850507483	0.0421265481506445	0.134336378291241	0.181833925015153	0.183823529411765	0.0772797527047913
