unifrac_binary	KO1	KO2	OE1	OE4	OE5	OE2	OE6	WT6	WT3	WT1	WT4	OE3	WT2	WT5	KO4	KO6	KO3	KO5
KO1	0	0.055	0.0602	0.0579	0.0648	0.0677	0.0687	0.0636	0.0716	0.0734	0.0602	0.0744	0.0758	0.0717	0.0684	0.0677	0.0804	0.102
KO2	0.055	0	0.0602	0.06	0.0623	0.0573	0.0617	0.0591	0.0631	0.0624	0.0634	0.0713	0.0815	0.0744	0.0675	0.0747	0.0768	0.112
OE1	0.0602	0.0602	0	0.0472	0.0512	0.0503	0.0483	0.048	0.0512	0.0571	0.0614	0.055	0.0659	0.0717	0.0782	0.0843	0.089	0.120
OE4	0.0579	0.06	0.0472	0	0.0478	0.0509	0.0487	0.0512	0.0495	0.055	0.05	0.0513	0.0604	0.0665	0.0654	0.0738	0.0816	0.104
OE5	0.0648	0.0623	0.0512	0.0478	0	0.0479	0.0486	0.0519	0.0555	0.0581	0.0552	0.0539	0.0552	0.0675	0.0672	0.0755	0.0797	0.0982
OE2	0.0677	0.0573	0.0503	0.0509	0.0479	0	0.0462	0.0535	0.0515	0.0527	0.0572	0.0539	0.0713	0.0766	0.0735	0.0869	0.0908	0.117
OE6	0.0687	0.0617	0.0483	0.0487	0.0486	0.0462	0	0.0578	0.0529	0.0578	0.0643	0.0553	0.0686	0.0736	0.0798	0.0847	0.093	0.119
WT6	0.0636	0.0591	0.048	0.0512	0.0519	0.0535	0.0578	0	0.0555	0.0547	0.0554	0.0617	0.0636	0.0597	0.0729	0.0755	0.0817	0.113
WT3	0.0716	0.0631	0.0512	0.0495	0.0555	0.0515	0.0529	0.0555	0	0.0495	0.0559	0.0566	0.0648	0.0714	0.0762	0.0872	0.0931	0.124
WT1	0.0734	0.0624	0.0571	0.055	0.0581	0.0527	0.0578	0.0547	0.0495	0	0.0601	0.0546	0.0671	0.0714	0.0846	0.0894	0.0942	0.122
WT4	0.0602	0.0634	0.0614	0.05	0.0552	0.0572	0.0643	0.0554	0.0559	0.0601	0	0.0622	0.0568	0.0678	0.0667	0.0725	0.0805	0.102
OE3	0.0744	0.0713	0.055	0.0513	0.0539	0.0539	0.0553	0.0617	0.0566	0.0546	0.0622	0	0.0666	0.0748	0.0894	0.0944	0.0939	0.115
WT2	0.0758	0.0815	0.0659	0.0604	0.0552	0.0713	0.0686	0.0636	0.0648	0.0671	0.0568	0.0666	0	0.0659	0.0763	0.083	0.0795	0.101
WT5	0.0717	0.0744	0.0717	0.0665	0.0675	0.0766	0.0736	0.0597	0.0714	0.0714	0.0678	0.0748	0.0659	0	0.0681	0.0707	0.0794	0.102
KO4	0.0684	0.0675	0.0782	0.0654	0.0672	0.0735	0.0798	0.0729	0.0762	0.0846	0.0667	0.0894	0.0763	0.0681	0	0.0642	0.0758	0.0869
KO6	0.0677	0.0747	0.0843	0.0738	0.0755	0.0869	0.0847	0.0755	0.0872	0.0894	0.0725	0.0944	0.083	0.0707	0.0642	0	0.0718	0.0838
KO3	0.0804	0.0768	0.089	0.0816	0.0797	0.0908	0.093	0.0817	0.0931	0.0942	0.0805	0.0939	0.0795	0.0794	0.0758	0.0718	0	0.0865
KO5	0.102	0.112	0.120	0.104	0.0982	0.117	0.119	0.113	0.124	0.122	0.102	0.115	0.101	0.102	0.0869	0.0838	0.0865	0
