group	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
methanotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	22	41	17	20	44	58	15	36	31	25	26	12	28	43	58	32	25	23
methylotrophy	22	41	17	20	44	58	15	36	31	25	26	12	28	43	58	32	25	23
aerobic_ammonia_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aerobic_nitrite_oxidation	4	5	2	5	3	3	8	6	8	4	9	14	9	5	8	28	11	18
nitrification	4	5	2	5	3	3	8	6	8	4	9	14	9	5	8	28	11	18
sulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
